380,0.000200
381,0.000228
382,0.000261
383,0.000299
384,0.000344
385,0.000396
386,0.000455
387,0.000525
388,0.000604
389,0.000696
390,0.000800
391,0.000916
392,0.001050
393,0.001200
394,0.001360
395,0.001550
396,0.001750
397,0.001880
398,0.002230
399,0.002500
400,0.002800
401,0.003120
402,0.003460
403,0.003830
404,0.004230
405,0.004660
406,0.005120
407,0.005620
408,0.006170
409,0.006760
410,0.007400
411,0.008150
412,0.008960
413,0.009830
414,0.010800
415,0.011800
416,0.012800
417,0.014000
418,0.015100
419,0.016300
420,0.017500
421,0.018600
422,0.019600
423,0.020700
424,0.021700
425,0.022700
426,0.023600
427,0.024600
428,0.025500
429,0.026400
430,0.027300
431,0.028300
432,0.029400
433,0.030400
434,0.031500
435,0.032600
436,0.033700
437,0.034700
438,0.035800
439,0.036900
440,0.037900
441,0.038800
442,0.039800
443,0.040600
444,0.041500
445,0.042400
446,0.043300
447,0.044100
448,0.045000
449,0.045900
450,0.046800
451,0.047700
452,0.048700
453,0.049800
454,0.050900
455,0.052100
456,0.053400
457,0.054900
458,0.056400
459,0.058100
460,0.060000
461,0.062600
462,0.065300
463,0.068000
464,0.070900
465,0.073900
466,0.077000
467,0.080300
468,0.083700
469,0.087200
470,0.091000
471,0.094900
472,0.099000
473,0.104000
474,0.108000
475,0.113000
476,0.118000
477,0.123000
478,0.128000
479,0.133000
480,0.139000
481,0.145000
482,0.150000
483,0.156000
484,0.163000
485,0.169000
486,0.176000
487,0.184000
488,0.191000
489,0.199000
490,0.208000
491,0.217000
492,0.227000
493,0.237000
494,0.247000
495,0.259000
496,0.270000
497,0.282290
498,0.295050
499,0.308570
500,0.323000
501,0.338400
502,0.354680
503,0.371690
504,0.389280
505,0.407300
506,0.425620
507,0.444300
508,0.463390
509,0.482930
510,0.503000
511,0.523560
512,0.544510
513,0.565690
514,0.586960
515,0.608200
516,0.629340
517,0.650300
518,0.670870
519,0.690840
520,0.710000
521,0.728180
522,0.745460
523,0.761960
524,0.777830
525,0.793200
526,0.808110
527,0.822490
528,0.836300
529,0.849490
530,0.862000
531,0.873810
532,0.884960
533,0.895490
534,0.905440
535,0.914850
536,0.923730
537,0.932090
538,0.939920
539,0.947220
540,0.954000
541,0.960250
542,0.966000
543,0.971260
544,0.976020
545,0.980300
546,0.984090
547,0.987480
548,0.990310
549,0.992810
